Row Column, Keyboard                                                                                                      , Mouse        , Monitor      , Monitor Brand, HDMI                      , Ethernet   , Cable Ties                               , System Unit   , Can access Admin, System Unit Brand, Device Name    , Processor     , Processor Speed            , RAM Installed , RAM Speed     , Storage (Usable)      , WiFi enabled  , OS installed          , OS Installation Date, Graphics Card                                   , Student Domain Connected here?, Padlocked     , Errors:
R6C3      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , HDMI cable doesn't have                  , Present       , Yes             , HP               , Elgon 18       , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB (477GB) SSD NVMe, Yes           , Windows 11 Pro N 24H2 , 03/06/2026          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , Yes           , 
R6C4      , Present                                                                                                       , No Mouse     , Present      , HP           , No System Unit            , Present    , Keyboard doesnt have                     , No System Unit, No System Unit  , No System Unit   , No System Unit , No System Unit, No System Unit             , No System Unit, No System Unit, No System Unit        , No System Unit, No System Unit        , No System Unit      , No System Unit                                  , No system unit                , No system unit, 
R6C5      , Present                                                                                                       , Present      , Present      , Lenovo       , Uses VGA                  , Present    , Keyboard & Mouse don't have              , Present       , Yes             , HP               , Elgon 12       , Core i5-10500 , 3.10GHz (12 CPUs - 6 cores), 8GB           , 2667MT/s      , 500GB (476GB) SSD     , Yes           , Windows 11 Pro N 23H2 , 09/02/2023          , 128 Mb Intel® UHD Graphics 630                  , No access to student domain   , Yes           , Only shows the admin and administrator profile
          , ROW 7                                                                                                         ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
R7C1      , Present                                                                                                       , No Mouse     , Present      , Lenovo       , No System Unit            , Absent     , Keyboard doesnt have                     , No System Unit, No System Unit  , No System Unit   , No System Unit , No System Unit, No System Unit             , No System Unit, No System Unit, No System Unit        , No System Unit, No System Unit        , No System Unit      , No System Unit                                  , No system unit                , No system unit, 
R7C2      , Present                                                                                                       , No Mouse     , Present      , Lenovo       , No System Unit            , Absent     , Keyboard doesnt have                     , No System Unit, No System Unit  , No System Unit   , No System Unit , No System Unit, No System Unit             , No System Unit, No System Unit, No System Unit        , No System Unit, No System Unit        , No System Unit      , No System Unit                                  , No system unit                , No system unit, 
R7C3      , Present                                                                                                       , No Mouse     , Present      , Lenovo       , No System Unit            , Absent     , Keyboard doesnt have                     , No System Unit, No System Unit  , No System Unit   , No System Unit , No System Unit, No System Unit             , No System Unit, No System Unit, No System Unit        , No System Unit, No System Unit        , No System Unit      , No System Unit                                  , No system unit                , No system unit, 
R7C4      , Present                                                                                                       , No Mouse     , Present      , Lenovo       , No System Unit            , Absent     , Keyboard doesnt have                     , No System Unit, No System Unit  , No System Unit   , No System Unit , No System Unit, No System Unit             , No System Unit, No System Unit, No System Unit        , No System Unit, No System Unit        , No System Unit      , No System Unit                                  , No system unit                , No system unit, 
          , ROW 8                                                                                                         ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
R8C1      , Lab Tech Desk                                                                                                 , Lab Tech Desk, Lab Tech Desk, Lab Tech Desk, Lab Tech Desk             ,            , Lab Tech Desk                            , Lab Tech Desk ,                 , Lab Tech Desk    , Lab Tech Desk  , Lab Tech Desk , Lab Tech Desk              , Lab Tech Desk , Lab Tech Desk , Lab Tech Desk         , Lab Tech Desk , Lab Tech Desk         , Lab Tech Desk       , Lab Tech Desk                                   , Lab Tech Desk                 , Lab Tech Desk , Lab Tech Desk
          ,                                                                                                               ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
          , Summary:                                                                                                      ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
          , Availablility Issues                                                                                          ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
          , - 8 Stations do not have PCs.                                                                                 ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
          , - 11 Stations do not have mice.                                                                               ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
          ,                                                                                                               ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
          , ICT Support Issues                                                                                            ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
          , "- Beep codes, 3 long 2 short1 of them produces error be. (R4C3)"                                             ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
          , "- Cycle of turning on, saying it has not restarted properly, blue screening and then restarting again.(R5C1)",              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
